MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
92,Teotihuacán,58507,0,alto,0.9657008812527738,0.9911874722627274,0.9976542192354024,0.4585684397387941,0.9033791922906232,0.4327648513282191,10.01,3.7
93,Tepetlaoxtoc,32564,0,alto,0.967017208413002,0.9614005736137669,0.9967734225621416,0.390774378585086,0.8724904397705545,0.4516013384321223,9.68,3.86
94,Tepetlixpa,20500,2,intermedio,0.9347186826112528,0.9615761615369536,0.9952950401881984,0.3044501078219956,0.8559106057635758,0.3215055871397765,9.13,4.0
95,Tepotzotlán,103696,0,alto,0.943955312222551,0.985424681858538,0.9969295649600474,0.5087673868008287,0.9024119562000592,0.4640426161586268,9.85,3.82
96,Tequixquiac,39489,0,alto,0.9649600751526538,0.9815875998121184,0.9954908407703148,0.3712541099107562,0.8806012212306247,0.4353217472992015,9.35,3.7
97,Texcaltitlán,18482,2,intermedio,0.935264428351986,0.8922536756638139,0.9835418038183016,0.1937678297125301,0.7851656791748958,0.4549045424621461,8.32,4.02
98,Texcalyacac,5736,0,alto,0.9993084370677732,0.9806362378976486,0.995850622406639,0.5027662517289073,0.8692946058091287,0.3907330567081604,10.09,3.96
99,Texcoco,277562,0,alto,0.9171718576195772,0.9825778642936596,0.9974137931034482,0.5411012235817575,0.8996662958843159,0.4586206896551724,10.52,3.78
100,Tezoyuca,47044,2,intermedio,0.7006332757628094,0.950242618636401,0.996545768566494,0.4165638621597171,0.9134797269512296,0.3954272555308825,9.3,3.85
101,Tianguistenco,84259,2,intermedio,0.9772704615691356,0.961768517595454,0.9942677699132688,0.4261290000996909,0.8145249725849866,0.4035988435848868,9.74,4.19
102,Timilpan,16414,2,intermedio,0.9676483712628292,0.928826416778224,0.9899598393574296,0.2320392681838465,0.8295403837572513,0.4783578759482374,8.68,3.66
103,Tlalmanalco,49196,0,alto,0.9947680774636888,0.993674839918788,0.997735436514134,0.5203029829767296,0.8962986100265501,0.3661564891457129,10.5,3.83
104,Tlalnepantla de Baz,672202,0,alto,0.9962474197879716,0.9963275817150644,0.9974598689352492,0.7056804745586084,0.9045421751938916,0.4710415038377523,10.93,3.32
105,Tlatlaya,31762,2,intermedio,0.91906432748538,0.8908771929824562,0.9891228070175438,0.0893567251461988,0.8228070175438597,0.3552046783625731,7.54,3.71
106,Toluca,910608,0,alto,0.9800733108446612,0.9865318459637288,0.9957958986005812,0.5821490598176413,0.8994981797535152,0.5263852242744064,10.92,3.79
107,Tonatico,12912,0,alto,0.9603821298117448,0.9890418656926104,0.9980331553807248,0.4518123068277606,0.8904186569261029,0.489182354593987,8.72,3.58
108,Tultepec,157645,0,alto,0.9978441710603396,0.9979144698301112,0.9983128295254832,0.6664323374340949,0.9175629759812536,0.4831400117164616,10.71,3.69
109,Tultitlán,516341,0,alto,0.9950937000363684,0.99535445444003,0.9979619984766454,0.6663510165990764,0.90778900851569,0.4164247826474806,10.37,3.54
110,Valle de Bravo,61590,2,intermedio,0.9800732509777144,0.9761623936929666,0.9923024396300204,0.3814637780122912,0.839096157427525,0.4125644049909988,9.13,3.79
111,Villa de Allende,53275,1,bajo,0.91344,0.81024,0.97616,0.04888,0.73448,0.28872,7.13,4.26
112,Villa del Carbón,51498,1,bajo,0.9596680369192584,0.8415419219731637,0.9705266423640736,0.1886294888699294,0.7731327076708291,0.3466221980919879,8.08,3.98
113,Villa Guerrero,69086,2,intermedio,0.965166161413945,0.9271864096550936,0.9917634273294056,0.2075730709832408,0.809929645941772,0.398158210833381,7.43,3.94
114,Villa Victoria,108196,1,bajo,0.8330719709475074,0.6660614064047541,0.9777566853747112,0.0693298118190822,0.7401782766589634,0.3012958071970947,6.84,4.46
115,Xonacatlán,54633,0,alto,0.9903728606356969,0.9845660146699268,0.9961033007334964,0.4564486552567237,0.8699572127139364,0.4232121026894865,9.67,4.16
116,Zacazonapan,5109,2,intermedio,0.984,0.976,0.9927272727272728,0.2698181818181818,0.8363636363636363,0.4923636363636363,7.8,3.7
117,Zacualpan,13522,1,bajo,0.8194874683187835,0.7758377921712194,0.9746550267530272,0.1864263587721768,0.7718952407772458,0.3677837228949591,7.4,3.79
118,Zinacantepec,203872,0,alto,0.9778621255642184,0.97894952810833,0.995034878949528,0.4786622897004514,0.8547804677882642,0.4880590890439064,9.99,4.17
119,Zumpahuacán,18833,1,bajo,0.9347969264544456,0.8851811196487377,0.9872667398463228,0.1218441273326015,0.7440175631174534,0.2406147091108672,7.48,4.13
120,Zumpango,280455,0,alto,0.9841255582362302,0.9936989887582772,0.9975488937939532,0.4974333966428828,0.9131589754119398,0.3329654535188132,9.77,3.59
121,Cuautitlán Izcalli,555163,0,alto,0.9835750175893008,0.9931199372388844,0.9991220915390794,0.7455372986569868,0.930134674893686,0.566773966589668,11.38,3.45
122,Valle de Chalco Solidaridad,391731,0,alto,0.981497831177306,0.9896453111204944,0.9975240873670876,0.5587501439484089,0.883353805995931,0.2689628037311428,9.12,3.75
123,Luvianos,28822,1,bajo,0.8488212719298246,0.8582785087719298,0.9823190789473684,0.1876370614035087,0.8050986842105263,0.3592379385964912,7.15,3.95
124,San José del Rincón,100082,1,bajo,0.8069250171978903,0.577711534051823,0.9828938316899792,0.0649850951616601,0.6980509057555606,0.2754414125200642,6.48,4.59
125,Tonanitla,14883,0,alto,0.9564336372847012,0.994934143870314,0.99822695035461,0.5316616008105369,0.8910840932117527,0.5106382978723404,10.51,3.76
